"ID","Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
"1282",35,"Travel_Rarely",1296,"Research & Development",5,"Four","Technical Degree","1","464","High","Male",62,"High","Three","Manufacturing Director","Medium","Single",8095,18264,0,"Y","No",13,"Excellent","Very High","80","Zero",17,5,"Good",16,6,0,13,"No"
"1283",37,"Travel_Rarely",367,"Research & Development",25,"Two","Medical","1","1161","High","Female",52,"Medium","Two","Healthcare Representative","Very High","Divorced",5731,17171,7,"Y","No",13,"Excellent","High","80","Two",9,2,"Good",6,2,1,3,"No"
"1284",38,"Travel_Rarely",1084,"Research & Development",29,"Three","Technical Degree","1","273","Very High","Male",54,"High","Two","Manufacturing Director","Very High","Married",6261,4185,3,"Y","No",18,"Excellent","Low","80","One",9,3,"Bad",7,7,1,7,"No"
"1285",58,"Travel_Rarely",605,"Sales",21,"Three","Life Sciences","1","1938","Very High","Female",72,"High","Four","Manager","Very High","Married",17875,11761,4,"Y","Yes",13,"Excellent","High","80","One",29,2,"Better",1,0,0,0,"No"
"1286",43,"Travel_Frequently",775,"Sales",15,"Three","Life Sciences","1","754","Very High","Male",47,"Medium","Two","Sales Executive","Very High","Married",6804,23683,3,"Y","No",18,"Excellent","High","80","One",7,5,"Good",2,2,2,2,"No"
"1287",30,"Travel_Rarely",1465,"Research & Development",1,"Three","Medical","1","1241","Very High","Male",63,"High","One","Research Scientist","Medium","Married",3579,9369,0,"Y","Yes",21,"Outstanding","Low","80","One",12,2,"Good",11,9,5,7,"No"
"1288",29,"Travel_Rarely",121,"Sales",27,"Three","Marketing","1","283","Medium","Female",35,"High","Three","Sales Executive","Very High","Married",7639,24525,1,"Y","No",22,"Outstanding","Very High","80","Three",10,3,"Better",10,4,1,9,"No"
"1289",24,"Non-Travel",1092,"Research & Development",9,"Three","Life Sciences","1","812","High","Male",60,"Medium","One","Laboratory Technician","Medium","Divorced",2694,26551,1,"Y","No",11,"Excellent","High","80","Three",1,4,"Good",1,0,0,0,"No"
"1290",58,"Travel_Rarely",682,"Sales",10,"Four","Medical","1","131","Very High","Male",37,"High","Four","Sales Executive","High","Single",13872,24409,0,"Y","No",13,"Excellent","High","80","Zero",38,1,"Better",37,10,1,8,"No"
"1291",38,"Travel_Rarely",1321,"Sales",1,"Four","Life Sciences","1","1995","Very High","Male",86,"High","Two","Sales Executive","Medium","Married",4440,7636,0,"Y","No",15,"Excellent","Low","80","Two",16,3,"Good",15,13,5,8,"No"
"1292",52,"Travel_Rarely",319,"Research & Development",3,"Three","Medical","1","543","Very High","Male",39,"Medium","Three","Manufacturing Director","High","Married",7969,19609,2,"Y","Yes",14,"Excellent","High","80","Zero",28,4,"Good",5,4,0,4,"No"
"1293",50,"Travel_Rarely",264,"Sales",9,"Three","Marketing","1","1591","High","Male",59,"High","Five","Manager","High","Married",19331,19519,4,"Y","Yes",16,"Excellent","High","80","One",27,2,"Good",1,0,0,0,"No"
"1294",36,"Travel_Frequently",884,"Research & Development",23,"Two","Medical","1","2061","High","Male",41,"Very High","Two","Laboratory Technician","Very High","Married",2571,12290,4,"Y","No",17,"Excellent","High","80","One",17,3,"Good",5,2,0,3,"No"
"1295",36,"Travel_Frequently",607,"Sales",7,"Three","Marketing","1","1362","Low","Female",83,"Very High","Two","Sales Executive","Low","Married",4639,2261,2,"Y","No",16,"Excellent","Very High","80","One",17,2,"Better",15,7,6,13,"No"
"1296",53,"Travel_Rarely",868,"Sales",8,"Three","Marketing","1","897","Low","Male",73,"High","Four","Sales Executive","Very High","Married",11836,22789,5,"Y","No",14,"Excellent","High","80","One",28,3,"Good",2,0,2,2,"No"
"1297",29,"Travel_Rarely",1396,"Sales",10,"Three","Life Sciences","1","749","High","Male",99,"High","One","Sales Representative","High","Single",2642,2755,1,"Y","No",11,"Excellent","High","80","Zero",1,6,"Good",1,0,0,0,"Yes"
"1298",50,"Travel_Rarely",1099,"Research & Development",29,"Four","Life Sciences","1","569","Medium","Male",88,"Medium","Four","Manager","High","Married",17046,9314,0,"Y","No",15,"Excellent","Medium","80","One",28,2,"Good",27,10,15,7,"No"
"1299",54,"Travel_Rarely",821,"Research & Development",5,"Two","Medical","1","522","Low","Male",86,"High","Five","Research Director","Low","Married",19406,8509,4,"Y","No",11,"Excellent","High","80","One",24,4,"Better",4,2,1,2,"No"
"1300",36,"Non-Travel",894,"Research & Development",1,"Four","Medical","1","1662","Very High","Female",33,"Medium","Two","Manufacturing Director","High","Married",4374,15411,0,"Y","No",15,"Excellent","High","80","Zero",4,6,"Good",3,2,1,2,"No"
"1301",56,"Travel_Rarely",310,"Research & Development",7,"Two","Technical Degree","1","2032","Very High","Male",72,"High","One","Laboratory Technician","High","Married",2339,3666,8,"Y","No",11,"Excellent","Very High","80","One",14,4,"Bad",10,9,9,8,"Yes"
"1302",44,"Travel_Rarely",136,"Research & Development",28,"Three","Life Sciences","1","1523","Very High","Male",32,"High","Four","Research Director","Low","Married",16328,22074,3,"Y","No",13,"Excellent","High","80","One",24,1,"Best",20,6,14,17,"No"
"1303",49,"Travel_Rarely",1091,"Research & Development",1,"Two","Technical Degree","1","431","High","Female",90,"Medium","Four","Healthcare Representative","High","Single",13964,17810,7,"Y","Yes",12,"Excellent","Very High","80","Zero",25,2,"Good",7,1,0,7,"No"
"1304",32,"Travel_Rarely",414,"Sales",2,"Four","Marketing","1","1862","High","Male",82,"Medium","Two","Sales Executive","Medium","Single",9907,26186,7,"Y","Yes",12,"Excellent","High","80","Zero",7,3,"Better",2,2,2,2,"Yes"
"1305",55,"Travel_Rarely",111,"Sales",1,"Two","Life Sciences","1","106","Low","Male",70,"High","Three","Sales Executive","Very High","Married",10239,18092,3,"Y","No",14,"Excellent","Very High","80","One",24,4,"Good",1,0,1,0,"No"
"1306",35,"Travel_Rarely",1315,"Research & Development",22,"Three","Life Sciences","1","381","Medium","Female",71,"Very High","Three","Manager","Medium","Divorced",11996,19100,7,"Y","No",18,"Excellent","Medium","80","One",10,6,"Better",7,7,6,2,"No"
"1307",36,"Travel_Rarely",1425,"Research & Development",14,"One","Life Sciences","1","924","High","Male",68,"High","Two","Healthcare Representative","Very High","Married",6586,4821,0,"Y","Yes",17,"Excellent","Low","80","One",17,2,"Better",16,8,4,11,"No"
"1308",42,"Travel_Rarely",1210,"Research & Development",2,"Three","Medical","1","1542","High","Male",68,"Medium","One","Laboratory Technician","Medium","Married",4841,24052,4,"Y","No",14,"Excellent","Medium","80","One",4,3,"Good",1,0,0,0,"No"
"1309",27,"Non-Travel",1277,"Research & Development",8,"Five","Life Sciences","1","1094","Low","Male",87,"Low","One","Laboratory Technician","High","Married",4621,5869,1,"Y","No",19,"Excellent","Very High","80","Three",3,4,"Good",3,2,1,2,"No"
"1310",46,"Non-Travel",849,"Sales",26,"Two","Life Sciences","1","1801","Medium","Male",98,"Medium","Two","Sales Executive","Medium","Single",7991,25166,8,"Y","No",15,"Excellent","High","80","Zero",6,3,"Good",2,2,2,2,"Yes"
"1311",45,"Travel_Rarely",194,"Research & Development",9,"Three","Life Sciences","1","206","Medium","Male",60,"High","Two","Laboratory Technician","Medium","Divorced",2348,10901,8,"Y","No",18,"Excellent","High","80","One",20,2,"Bad",17,9,0,15,"No"
"1312",42,"Travel_Frequently",570,"Research & Development",8,"Three","Life Sciences","1","809","Medium","Male",66,"High","Five","Manager","Very High","Divorced",18430,16225,1,"Y","No",13,"Excellent","Medium","80","One",24,4,"Better",24,7,14,9,"No"
"1313",40,"Travel_Rarely",448,"Research & Development",16,"Three","Life Sciences","1","1641","High","Female",84,"High","Three","Manufacturing Director","Very High","Single",7945,19948,6,"Y","Yes",15,"Excellent","Very High","80","Zero",18,2,"Better",4,2,3,3,"Yes"
"1314",32,"Travel_Rarely",120,"Research & Development",6,"Five","Life Sciences","1","231","High","Male",43,"High","One","Research Scientist","High","Single",3038,12430,3,"Y","No",20,"Outstanding","Low","80","Zero",8,2,"Good",5,4,1,4,"Yes"
"1315",45,"Travel_Rarely",538,"Research & Development",1,"Four","Technical Degree","1","1553","Low","Male",66,"High","Three","Healthcare Representative","Medium","Divorced",7441,20933,1,"Y","No",12,"Excellent","Low","80","Three",10,4,"Good",10,8,7,7,"No"
"1316",41,"Travel_Frequently",143,"Sales",4,"Three","Marketing","1","488","Low","Male",56,"High","Two","Sales Executive","Medium","Single",9355,9558,1,"Y","No",18,"Excellent","High","80","Zero",8,5,"Good",8,7,7,7,"No"
"1317",42,"Travel_Rarely",188,"Research & Development",29,"Three","Medical","1","1148","Medium","Male",56,"Low","Two","Laboratory Technician","Very High","Single",4272,9558,4,"Y","No",19,"Excellent","Low","80","Zero",16,3,"Good",1,0,0,0,"Yes"
"1318",31,"Travel_Frequently",667,"Sales",1,"Four","Life Sciences","1","1427","Medium","Female",50,"Low","One","Sales Representative","High","Single",1359,16154,1,"Y","No",12,"Excellent","Medium","80","Zero",1,3,"Good",1,0,0,0,"Yes"
"1319",28,"Travel_Rarely",1117,"Research & Development",8,"Two","Life Sciences","1","395","Very High","Female",66,"High","One","Research Scientist","Very High","Single",3310,4488,1,"Y","No",21,"Outstanding","Very High","80","Zero",5,3,"Good",5,3,0,2,"No"
"1320",55,"Travel_Rarely",685,"Sales",26,"Five","Marketing","1","1578","High","Male",60,"Medium","Five","Manager","Very High","Married",19586,23037,1,"Y","No",21,"Outstanding","High","80","One",36,3,"Good",36,6,2,13,"No"
"1321",33,"Travel_Rarely",832,"Research & Development",5,"Four","Life Sciences","1","338","High","Female",63,"Medium","One","Research Scientist","Very High","Married",2911,14776,1,"Y","No",13,"Excellent","High","80","One",2,2,"Better",2,2,0,2,"No"
"1322",53,"Travel_Rarely",346,"Research & Development",6,"Three","Life Sciences","1","769","Very High","Male",86,"High","Two","Laboratory Technician","Very High","Single",2450,10919,2,"Y","No",17,"Excellent","Very High","80","Zero",19,4,"Good",2,2,2,2,"No"
"1323",40,"Travel_Frequently",530,"Research & Development",1,"Four","Life Sciences","1","119","High","Male",78,"Medium","Four","Healthcare Representative","Medium","Married",13503,14115,1,"Y","No",22,"Outstanding","Very High","80","One",22,3,"Better",22,3,11,11,"No"
"1324",30,"Travel_Rarely",1092,"Research & Development",10,"Three","Medical","1","1816","Low","Female",64,"High","Three","Manufacturing Director","High","Single",9667,2739,9,"Y","No",14,"Excellent","Medium","80","Zero",9,3,"Good",7,7,0,2,"Yes"
"1325",40,"Travel_Rarely",804,"Research & Development",2,"One","Medical","1","763","Very High","Female",86,"Medium","One","Research Scientist","Very High","Single",2342,22929,0,"Y","Yes",20,"Outstanding","Very High","80","Zero",5,2,"Better",4,2,2,3,"No"
"1326",31,"Travel_Rarely",329,"Research & Development",1,"Two","Life Sciences","1","530","Very High","Male",98,"Medium","One","Laboratory Technician","Low","Married",2218,16193,1,"Y","No",12,"Excellent","High","80","One",4,3,"Good",4,2,3,2,"No"
"1327",34,"Non-Travel",999,"Research & Development",26,"One","Technical Degree","1","1374","Low","Female",92,"Medium","One","Research Scientist","High","Divorced",2029,15891,1,"Y","No",20,"Outstanding","High","80","Three",5,2,"Good",5,4,0,0,"Yes"
"1328",40,"Travel_Rarely",299,"Sales",25,"Four","Marketing","1","1318","Very High","Male",57,"Medium","Three","Sales Executive","Medium","Single",9094,17235,2,"Y","Yes",12,"Excellent","High","80","Zero",9,2,"Good",5,4,1,0,"Yes"
"1329",21,"Travel_Rarely",391,"Research & Development",15,"Two","Life Sciences","1","30","High","Male",96,"High","One","Research Scientist","Very High","Single",1232,19281,1,"Y","No",14,"Excellent","Very High","80","Zero",0,6,"Good",0,0,0,0,"Yes"
"1330",35,"Non-Travel",1097,"Research & Development",11,"Two","Medical","1","70","High","Male",79,"Medium","Three","Healthcare Representative","Low","Married",9884,8302,2,"Y","Yes",13,"Excellent","High","80","One",10,3,"Good",4,0,2,3,"No"
"1331",40,"Travel_Rarely",369,"Research & Development",8,"Two","Life Sciences","1","1724","Medium","Female",92,"High","Two","Manufacturing Director","Low","Married",6516,5041,2,"Y","Yes",16,"Excellent","Medium","80","One",18,3,"Good",1,0,0,0,"No"
"1332",28,"Travel_Rarely",1083,"Research & Development",29,"One","Life Sciences","1","1514","High","Male",96,"Low","Two","Manufacturing Director","Medium","Married",6549,3173,1,"Y","No",14,"Excellent","Medium","80","Two",8,2,"Better",8,6,1,7,"No"
"1333",34,"Travel_Rarely",699,"Research & Development",6,"One","Medical","1","31","Medium","Male",83,"High","One","Research Scientist","Low","Single",2960,17102,2,"Y","No",11,"Excellent","High","80","Zero",8,2,"Good",4,2,1,3,"No"
"1334",29,"Travel_Rarely",806,"Research & Development",7,"Three","Technical Degree","1","1299","Medium","Female",39,"High","One","Laboratory Technician","High","Divorced",3339,17285,3,"Y","Yes",13,"Excellent","Low","80","Two",10,2,"Good",7,7,7,7,"Yes"
"1335",42,"Travel_Rarely",1265,"Research & Development",3,"Three","Life Sciences","1","894","High","Female",95,"Very High","Two","Laboratory Technician","Very High","Married",5231,23726,2,"Y","Yes",13,"Excellent","Medium","80","One",17,1,"Better",5,3,1,3,"No"
"1336",29,"Travel_Rarely",1283,"Research & Development",23,"Three","Life Sciences","1","495","Very High","Male",54,"High","One","Research Scientist","Very High","Single",2201,18168,9,"Y","No",16,"Excellent","Very High","80","Zero",6,4,"Good",3,2,1,2,"Yes"
"1337",51,"Travel_Frequently",237,"Sales",9,"Three","Life Sciences","1","1282","Very High","Male",83,"High","Five","Manager","Medium","Divorced",19847,19196,4,"Y","Yes",24,"Outstanding","Low","80","One",31,5,"Better",29,10,11,10,"Yes"
"1338",27,"Non-Travel",210,"Sales",1,"One","Marketing","1","449","High","Male",73,"High","Two","Sales Executive","Medium","Married",6349,22107,0,"Y","Yes",13,"Excellent","Very High","80","One",6,0,"Good",5,4,1,4,"No"
"1339",50,"Travel_Rarely",1207,"Research & Development",28,"One","Medical","1","716","Very High","Male",74,"Very High","One","Laboratory Technician","High","Married",3221,3297,1,"Y","Yes",11,"Excellent","High","80","Three",20,3,"Good",20,8,3,8,"No"
"1340",35,"Travel_Rarely",195,"Sales",1,"Three","Medical","1","620","Low","Female",80,"High","Two","Sales Executive","High","Single",4859,6698,1,"Y","No",16,"Excellent","Very High","80","Zero",5,3,"Good",5,4,0,3,"Yes"
"1341",25,"Travel_Rarely",180,"Research & Development",2,"One","Medical","1","854","Low","Male",65,"Very High","One","Research Scientist","Low","Single",3424,21632,7,"Y","No",13,"Excellent","High","80","Zero",6,3,"Better",4,3,0,1,"Yes"
"1342",44,"Travel_Rarely",935,"Research & Development",3,"Three","Life Sciences","1","1333","Low","Male",89,"High","One","Laboratory Technician","Low","Married",2362,14669,4,"Y","No",12,"Excellent","High","80","Zero",10,4,"Best",3,2,1,2,"No"
"1343",27,"Travel_Rarely",975,"Research & Development",7,"Three","Medical","1","764","Very High","Female",55,"Medium","Two","Healthcare Representative","Low","Single",6811,23398,8,"Y","No",19,"Excellent","Low","80","Zero",9,2,"Bad",7,6,0,7,"Yes"
"1344",38,"Travel_Rarely",1380,"Research & Development",9,"Two","Life Sciences","1","245","High","Female",75,"High","One","Laboratory Technician","Very High","Single",2288,6319,1,"Y","No",12,"Excellent","High","80","Zero",2,3,"Good",2,2,2,1,"No"
"1345",27,"Travel_Rarely",1469,"Research & Development",1,"Two","Medical","1","497","Very High","Male",82,"High","One","Laboratory Technician","Medium","Divorced",3816,17881,1,"Y","No",11,"Excellent","Medium","80","One",5,2,"Good",5,2,0,4,"No"
"1346",49,"Travel_Frequently",279,"Research & Development",8,"One","Life Sciences","1","2","High","Male",61,"Medium","Two","Research Scientist","Medium","Married",5130,24907,1,"Y","No",23,"Outstanding","Very High","80","One",10,3,"Good",10,7,1,7,"No"
"1347",49,"Travel_Rarely",1418,"Research & Development",1,"Three","Technical Degree","1","887","High","Female",36,"High","One","Research Scientist","Low","Married",3580,10554,2,"Y","No",16,"Excellent","Medium","80","One",7,2,"Good",4,2,0,2,"No"
"1348",35,"Travel_Rarely",1349,"Research & Development",7,"Two","Life Sciences","1","1601","High","Male",63,"Medium","One","Laboratory Technician","Very High","Married",2690,7713,1,"Y","No",18,"Excellent","Very High","80","One",1,5,"Better",1,0,0,1,"No"
"1349",44,"Travel_Rarely",1315,"Research & Development",3,"Four","Other","1","671","Very High","Male",35,"High","Five","Manager","Very High","Married",19513,9358,4,"Y","Yes",12,"Excellent","Low","80","One",26,2,"Best",2,2,0,1,"No"
"1350",44,"Travel_Rarely",1448,"Sales",28,"Three","Medical","1","1039","Very High","Female",53,"Very High","Four","Sales Executive","Very High","Married",13320,11737,3,"Y","Yes",18,"Excellent","High","80","One",23,2,"Good",12,11,11,11,"No"
"1351",26,"Travel_Frequently",575,"Research & Development",1,"Two","Life Sciences","1","792","Low","Female",71,"Low","One","Laboratory Technician","Very High","Divorced",4364,5288,3,"Y","No",14,"Excellent","Low","80","One",5,2,"Good",2,2,2,0,"Yes"
"1352",43,"Travel_Rarely",1273,"Research & Development",2,"Two","Medical","1","46","Very High","Female",72,"Very High","One","Research Scientist","High","Divorced",2645,21923,1,"Y","No",12,"Excellent","Very High","80","Two",6,3,"Better",5,3,1,4,"No"
"1353",50,"Travel_Rarely",328,"Research & Development",1,"Three","Medical","1","249","High","Male",86,"Medium","One","Laboratory Technician","High","Married",3690,3425,2,"Y","No",15,"Excellent","Very High","80","One",5,2,"Better",3,2,0,2,"No"
"1354",41,"Travel_Rarely",930,"Sales",3,"Three","Life Sciences","1","2037","High","Male",57,"Medium","Two","Sales Executive","Medium","Divorced",8938,12227,2,"Y","No",11,"Excellent","High","80","One",14,5,"Good",5,4,0,4,"No"
"1355",43,"Travel_Rarely",982,"Research & Development",12,"Three","Life Sciences","1","520","Low","Male",59,"Medium","Four","Research Director","Medium","Divorced",14336,4345,1,"Y","No",11,"Excellent","High","80","One",25,3,"Good",25,10,3,9,"No"
"1356",53,"Travel_Rarely",238,"Sales",1,"One","Medical","1","682","Very High","Female",34,"High","Two","Sales Executive","Low","Single",8381,7507,7,"Y","No",20,"Outstanding","Very High","80","Zero",18,2,"Best",14,7,8,10,"No"
"1357",45,"Travel_Rarely",1005,"Research & Development",28,"Two","Technical Degree","1","1719","Very High","Female",48,"Medium","Four","Research Director","Medium","Single",16704,17119,1,"Y","No",11,"Excellent","High","80","Zero",21,2,"Good",21,6,8,6,"No"
"1358",20,"Travel_Rarely",805,"Research & Development",3,"Three","Life Sciences","1","1198","Low","Male",87,"Medium","One","Laboratory Technician","High","Single",3033,12828,1,"Y","No",12,"Excellent","Low","80","Zero",2,2,"Better",2,2,1,2,"Yes"
"1359",54,"Travel_Frequently",966,"Research & Development",1,"Four","Life Sciences","1","1245","Very High","Female",53,"High","Three","Manufacturing Director","High","Divorced",10502,9659,7,"Y","No",17,"Excellent","Low","80","One",33,2,"Bad",5,4,1,4,"No"
"1360",39,"Travel_Rarely",524,"Research & Development",18,"Two","Life Sciences","1","1322","Low","Male",32,"High","Two","Manufacturing Director","High","Single",4534,13352,0,"Y","No",11,"Excellent","Low","80","Zero",9,6,"Good",8,7,1,7,"No"
"1361",30,"Travel_Rarely",1334,"Sales",4,"Two","Medical","1","121","High","Female",63,"Medium","Two","Sales Executive","Medium","Divorced",5209,19760,1,"Y","Yes",12,"Excellent","Medium","80","Three",11,4,"Better",11,8,2,7,"No"
"1362",39,"Travel_Rarely",170,"Research & Development",3,"Two","Medical","1","1627","High","Male",76,"Medium","Two","Laboratory Technician","High","Divorced",3069,10302,0,"Y","No",15,"Excellent","Very High","80","One",11,3,"Good",10,8,0,7,"No"
"1363",35,"Travel_Rarely",819,"Research & Development",18,"Five","Life Sciences","1","1621","Medium","Male",48,"Very High","Two","Research Scientist","Low","Married",5208,26312,1,"Y","No",11,"Excellent","Very High","80","Zero",16,2,"Good",16,15,1,10,"No"
"1364",38,"Travel_Frequently",1186,"Research & Development",3,"Four","Other","1","1060","High","Male",44,"High","One","Research Scientist","High","Married",2821,2997,3,"Y","No",16,"Excellent","Low","80","One",8,2,"Good",2,2,2,2,"Yes"
"1365",25,"Travel_Rarely",622,"Sales",13,"One","Medical","1","645","Medium","Male",40,"High","One","Sales Representative","High","Married",2096,26376,1,"Y","No",11,"Excellent","High","80","Zero",7,1,"Good",7,4,0,6,"Yes"
"1366",29,"Travel_Rarely",738,"Research & Development",9,"Five","Other","1","455","Medium","Male",30,"Medium","One","Laboratory Technician","Very High","Single",3983,7621,0,"Y","No",17,"Excellent","High","80","Zero",4,2,"Good",3,2,2,2,"No"
"1367",34,"Travel_Frequently",988,"Human Resources",23,"Three","Human Resources","1","590","Medium","Female",43,"High","Three","Human Resources","Low","Divorced",9950,11533,9,"Y","Yes",15,"Excellent","High","80","Three",11,2,"Good",3,2,0,2,"Yes"
"1368",31,"Non-Travel",979,"Research & Development",1,"Four","Medical","1","308","High","Male",90,"Low","Two","Manufacturing Director","High","Married",4345,4381,0,"Y","No",12,"Excellent","Very High","80","One",6,2,"Good",5,4,1,4,"No"
"1369",51,"Travel_Rarely",770,"Human Resources",5,"Three","Life Sciences","1","1352","High","Male",84,"High","Four","Manager","Medium","Divorced",14026,17588,1,"Y","Yes",11,"Excellent","Medium","80","One",33,2,"Good",33,9,0,10,"No"
"1370",54,"Travel_Rarely",155,"Research & Development",9,"Two","Life Sciences","1","1969","Low","Female",67,"High","Two","Research Scientist","High","Married",2897,22474,3,"Y","No",11,"Excellent","High","80","Two",9,6,"Better",4,3,2,3,"No"
"1371",41,"Travel_Frequently",840,"Research & Development",9,"Three","Medical","1","999","Low","Male",64,"High","Five","Research Director","High","Divorced",19419,3735,2,"Y","No",17,"Excellent","Medium","80","One",21,2,"Best",18,16,0,11,"No"
"1372",28,"Travel_Rarely",1181,"Research & Development",1,"Three","Life Sciences","1","1799","High","Male",82,"High","One","Research Scientist","Very High","Married",2044,5531,1,"Y","No",11,"Excellent","High","80","One",5,6,"Best",5,3,0,3,"No"
"1373",39,"Travel_Rarely",1431,"Research & Development",1,"Four","Medical","1","332","High","Female",96,"High","One","Laboratory Technician","High","Divorced",2232,15417,7,"Y","No",14,"Excellent","High","80","Three",7,1,"Good",3,2,1,2,"No"
"1374",36,"Travel_Rarely",363,"Research & Development",1,"Three","Technical Degree","1","1237","High","Female",77,"Low","Three","Manufacturing Director","Low","Divorced",10252,4235,2,"Y","Yes",21,"Outstanding","High","80","One",17,2,"Good",7,7,7,7,"No"
"1375",53,"Non-Travel",661,"Research & Development",1,"Four","Medical","1","1775","Low","Female",60,"Medium","Four","Manufacturing Director","High","Married",12965,22308,4,"Y","Yes",20,"Outstanding","Very High","80","Three",27,2,"Better",3,2,0,2,"No"
"1376",31,"Travel_Rarely",140,"Research & Development",12,"One","Medical","1","246","High","Female",95,"High","One","Research Scientist","Very High","Married",3929,6984,8,"Y","Yes",23,"Outstanding","High","80","One",7,0,"Good",4,2,0,2,"Yes"
"1377",28,"Travel_Rarely",304,"Sales",9,"Four","Life Sciences","1","498","Medium","Male",92,"High","Two","Sales Executive","Very High","Single",5253,20750,1,"Y","No",16,"Excellent","Very High","80","Zero",7,1,"Good",7,5,0,7,"No"
"1378",33,"Non-Travel",1283,"Sales",2,"Three","Marketing","1","1756","Very High","Female",62,"High","Two","Sales Executive","Medium","Single",5147,10697,8,"Y","No",15,"Excellent","Very High","80","Zero",13,2,"Better",11,7,1,7,"No"
"1379",38,"Travel_Rarely",437,"Sales",16,"Three","Life Sciences","1","1583","Medium","Female",90,"High","Two","Sales Executive","Medium","Single",4198,16379,2,"Y","No",12,"Excellent","Medium","80","Zero",8,5,"Best",3,2,1,2,"No"
"1380",50,"Travel_Rarely",854,"Sales",1,"Four","Medical","1","323","Very High","Female",68,"High","Five","Manager","Very High","Divorced",19517,24118,3,"Y","No",11,"Excellent","High","80","One",32,3,"Better",7,0,0,6,"No"
"1381",26,"Travel_Frequently",575,"Research & Development",3,"One","Technical Degree","1","510","High","Male",73,"High","One","Research Scientist","Low","Single",3102,6582,0,"Y","No",22,"Outstanding","High","80","Zero",7,2,"Good",6,4,0,4,"Yes"
"1382",45,"Travel_Rarely",549,"Research & Development",8,"Four","Other","1","452","Very High","Male",75,"High","Two","Research Scientist","Very High","Married",3697,9278,9,"Y","No",14,"Excellent","Low","80","Two",12,3,"Good",10,9,9,8,"No"
"1383",38,"Travel_Frequently",240,"Research & Development",2,"Four","Life Sciences","1","803","Low","Female",75,"Very High","Two","Manufacturing Director","Low","Single",5980,26085,6,"Y","Yes",12,"Excellent","Very High","80","Zero",17,2,"Good",15,7,4,12,"No"
"1384",32,"Travel_Rarely",638,"Research & Development",8,"Two","Medical","1","865","High","Female",91,"Very High","Two","Research Scientist","High","Married",5175,22162,5,"Y","No",12,"Excellent","High","80","One",9,3,"Better",5,3,1,3,"No"
"1385",42,"Travel_Rarely",201,"Research & Development",1,"Four","Life Sciences","1","517","Medium","Female",95,"High","One","Laboratory Technician","Low","Divorced",2576,20490,3,"Y","No",16,"Excellent","Medium","80","One",8,5,"Good",5,2,1,2,"No"
"1386",34,"Travel_Rarely",1440,"Sales",7,"Two","Technical Degree","1","1541","Medium","Male",55,"High","One","Sales Representative","High","Married",2308,4944,0,"Y","Yes",25,"Outstanding","Medium","80","One",12,4,"Good",11,10,5,7,"No"
"1387",29,"Travel_Rarely",598,"Research & Development",9,"Three","Life Sciences","1","1558","High","Male",91,"Very High","One","Research Scientist","High","Married",2451,22376,6,"Y","No",18,"Excellent","Low","80","Two",5,2,"Better",1,0,0,0,"Yes"
"1388",31,"Travel_Rarely",330,"Research & Development",22,"Four","Medical","1","1389","Very High","Male",98,"High","Two","Manufacturing Director","High","Married",6179,21057,1,"Y","Yes",15,"Excellent","Very High","80","Two",10,3,"Better",10,2,6,7,"No"
"1389",23,"Travel_Rarely",1309,"Research & Development",26,"One","Life Sciences","1","465","High","Male",83,"High","One","Research Scientist","Very High","Divorced",2904,16092,1,"Y","No",12,"Excellent","High","80","Two",4,2,"Better",4,2,0,2,"No"
"1390",36,"Non-Travel",217,"Research & Development",18,"Four","Life Sciences","1","1133","Low","Male",78,"High","Two","Manufacturing Director","Very High","Single",7779,23238,2,"Y","No",20,"Outstanding","Low","80","Zero",18,0,"Good",11,9,0,9,"No"
"1391",30,"Travel_Rarely",570,"Sales",5,"Three","Marketing","1","456","Very High","Female",30,"Medium","Two","Sales Executive","High","Divorced",6118,5431,1,"Y","No",13,"Excellent","High","80","Three",10,2,"Good",10,9,1,2,"No"
"1392",29,"Travel_Rarely",1090,"Sales",10,"Three","Marketing","1","766","Very High","Male",83,"High","One","Sales Representative","Medium","Divorced",2297,17967,1,"Y","No",14,"Excellent","Very High","80","Two",2,2,"Good",2,2,2,2,"Yes"
"1393",42,"Travel_Rarely",532,"Research & Development",4,"Two","Technical Degree","1","319","High","Male",58,"High","Five","Manager","Very High","Married",19232,4933,1,"Y","No",11,"Excellent","Very High","80","Zero",22,3,"Good",22,17,11,15,"No"
"1394",51,"Travel_Rarely",684,"Research & Development",6,"Three","Life Sciences","1","162","Low","Male",51,"High","Five","Research Director","High","Single",19537,6462,7,"Y","No",13,"Excellent","High","80","Zero",23,5,"Good",20,18,15,15,"No"
